video_id,views,likes,comments,snapshot_date
x0w91GGrBA0,32,2,0,2026-01-07
E7NGOpsI8nM,26,2,0,2026-01-07
4XFkWlujcM8,151,8,0,2026-01-07
LzlrTEc0B4c,45,2,0,2026-01-07
Btj4AuGWB7g,88,6,1,2026-01-07
Z16nuSNRf4U,92,10,0,2026-01-07
aymz0YdZdqc,34,0,0,2026-01-07
BeqUnErFqZo,45,1,1,2026-01-07
1GNTT1UkyAs,14,0,0,2026-01-07
HmL6cGPMYA8,28,2,0,2026-01-07
9RP_gxmVcVc,16,0,0,2026-01-07
dP4BVGlyxUs,967,31,0,2026-01-07
Wn7GMZQSPgE,12,0,0,2026-01-07
LqqQ4A09avo,31,1,0,2026-01-07
HWOmaw2KJyI,199,3,0,2026-01-07
z1qASAIB6cQ,38,1,0,2026-01-07
r5tcRJrdt5Q,47,0,0,2026-01-07
TOxppkf733k,34,0,0,2026-01-07
8NBz6EdkGEo,24,1,0,2026-01-07
tsBPKG7yJSI,24,0,0,2026-01-07
yxdJl-CX6SA,155,4,0,2026-01-07
-ZovLjVdO5Y,33,0,0,2026-01-07
jLEnJK3Z7WM,663,4,0,2026-01-07
mmsIPbdx3vk,1450,23,0,2026-01-07
8rcUALkKrpY,627,7,0,2026-01-07
Q_X5bFJ13hI,24,0,0,2026-01-07
5KpzPOmUDoM,67,1,0,2026-01-07
F1Yq76jfYPY,934,10,1,2026-01-07
C6CP7bnPzIU,1428,11,0,2026-01-07
uAPYbS37Xbg,2137,13,0,2026-01-07
9T9ebShiryY,667,11,0,2026-01-07
77YBmc2-pLw,42,0,0,2026-01-07
I0fjt_0eFI8,32,1,0,2026-01-07
DC0JhiBz94M,160,3,0,2026-01-07
xn3sfYyu2S8,191,11,0,2026-01-07
_WzlvLY4DSI,164,16,2,2026-01-07
A-TPW1VhdZY,318,18,1,2026-01-07
w2uRdRuNODE,791,28,0,2026-01-07
iDjPBhceRj8,148,8,1,2026-01-07
W32F2RT_h0c,1820,84,3,2026-01-07
J6NEPAUzCw0,2016,79,11,2026-01-07
O_gwTPjycRA,1746,29,0,2026-01-07
AFCZLBJHFUM,248,5,0,2026-01-07
oSme0NFqrCA,1947,24,0,2026-01-07
LBDSuYGWBMw,146,3,0,2026-01-07
ZIGw4lfvg6Y,407,10,0,2026-01-07
SlVbzgcoW6U,1001,47,2,2026-01-07
7oOsZWzc08k,1498,45,0,2026-01-07
Q8DaZLtuR0o,6368,79,17,2026-01-07
2Alb5wSeORg,283,11,5,2026-01-07
PyQUwq5J2ok,2970,53,29,2026-01-07
aYMwGkc2vJI,5175,146,10,2026-01-07
HScZL9vtqm8,1450,17,0,2026-01-07
P5Nf-hWBcuI,471,17,1,2026-01-07
Q97zTCcjU5Y,59,0,0,2026-01-07
43aGY21oaP8,414,10,2,2026-01-07
uEbOIltpHT0,361,13,0,2026-01-07
SZUPFmvNzHc,1746,49,0,2026-01-07
yzB0RCAkS3M,275,7,2,2026-01-07
jC6bFjQYKU8,703,20,0,2026-01-07
gTnQRKsN9to,234,2,0,2026-01-07
ku5dCpX4SOk,1188,60,1,2026-01-07
t3VBF3YxmDU,219,20,7,2026-01-07
tUqhXswFt1E,1796,28,1,2026-01-07
Y2nwLfflgJw,226,2,0,2026-01-07
Fv12z3pS4oE,4179,135,0,2026-01-07
XkX3t5pVzNM,1458,49,4,2026-01-07
csWn72ud1kM,789,26,1,2026-01-07
fI7XlsjfkhA,1874,31,1,2026-01-07
7LcePepG3d4,1334,13,1,2026-01-07
sHU4Cv-6GI4,983,23,0,2026-01-07
mP1977x1V7Q,1034,20,0,2026-01-07
jUve7O4zUPM,673,8,0,2026-01-07
a_kCuvf6-Nk,415,4,0,2026-01-07
