Constituency,Const. No.,Parliament Constituency,Leading Candidate,Trailing Candidate,Margin,Status,State ID,Country
Surat,24,SURAT(24),MUKESHKUMAR CHANDRAKAANT DALAL,,0,Uncontested,S06,India
INDORE,26,INDORE(26),SHANKAR LALWANI,SANJAY S/O LAKSHMAN SOLANKI,1175092,Result Declared,S12,India
Dhubri,2,DHUBRI(2),RAKIBUL HUSSAIN,MOHAMMED BADRUDDIN AJMAL,1012476,Result Declared,S03,India
VIDISHA,18,VIDISHA(18),SHIVRAJ SINGH CHOUHAN,PRATAPBHANU SHARMA,821408,Result Declared,S12,India
Navsari,25,NAVSARI(25),C R PATIL,NAISHADHBHAI BHUPATBHAI  DESAI,773551,Result Declared,S06,India
Gandhinagar,6,GANDHINAGAR(6),AMIT SHAH,SONAL RAMANBHAI PATEL,744716,Result Declared,S06,India
Diamond harbour,21,DIAMONDHARBOUR(21),ABHISHEK BANERJEE,ABHIJIT DAS (BOBBY),710930,Result Declared,S25,India
Tripura West,1,TRIPURAWEST(1),BIPLAB KUMAR DEB,ASISH KUMAR SAHA,611578,Result Declared,S23,India
Vadodara,20,VADODARA(20),DR. HEMANG JOSHI,PADHIYAR  JASHPALSINH MAHENDRASINH (BAPU),582126,Result Declared,S06,India
RAIPUR,8,RAIPUR(8),BRIJMOHAN AGRAWAL,VIKAS UPADHYAY,575285,Result Declared,S26,India
TIRUVALLUR,1,TIRUVALLUR(1),Sasikanth Senthil,"Balaganapathy, V. Pon",572155,Result Declared,S22,India
Nalgonda,13,NALGONDA(13),KUNDURU RAGHUVEER,SAIDI REDDY SHANAMPUDI,559905,Result Declared,S29,India
Gautam Buddha Nagar,13,GAUTAMBUDDHANAGAR(13),DR. MAHESH SHARMA,DR. MAHENDRA SINGH NAGAR,559472,Result Declared,S24,India
KHAJURAHO,8,KHAJURAHO(8),VISHNU DATT SHARMA (V.D.SHARMA),KAMLESH KUMAR,541229,Result Declared,S12,India
GUNA,4,GUNA(4),JYOTIRADITYA M. SCINDIA,YADVENDRA RAO DESHRAJ SINGH,540929,Result Declared,S12,India
Panchmahal,18,PANCHMAHAL(18),RAJPALSINH MAHENDRASINH JADAV,GULABSINH SOMSINH CHAUHAN,509342,Result Declared,S06,India
Visakhapatnam,4,VISAKHAPATNAM(4),SRIBHARAT MATHUKUMILI,JHANSI LAKSHMI. BOTCHA.,504247,Result Declared,S01,India
BHOPAL,19,BHOPAL(19),ALOK SHARMA,ADVOCATE ARUN SHRIVASTAVA,501499,Result Declared,S12,India
MANDSOUR,23,MANDSOUR(23),SUDHEER GUPTA,DILIP SINGH GURJAR,500655,Result Declared,S12,India
SRIPERUMBUDUR,5,SRIPERUMBUDUR(5),T R BAALU,G PREMKUMAR,487029,Result Declared,S22,India
Tripura East,2,TRIPURAEAST(2),KRITI DEVI DEBBARMAN,RAJENDRA REANG,486819,Result Declared,S23,India
JABALPUR,13,JABALPUR(13),ASHISH DUBEY,DINESH YADAV,486674,Result Declared,S12,India
Rajkot,10,RAJKOT(10),PARSHOTTAMBHAI RUPALA,DHANANI PARESH,484260,Result Declared,S06,India
SAGAR,5,SAGAR(5),DR. LATA WANKHEDE,CHANDRA BHUSAN SINGH BUNDELA 'GUDDU RAJA',471222,Result Declared,S12,India
Joynagar,19,JOYNAGAR(19),PRATIMA MONDAL,ASHOK KANDARY,470219,Result Declared,S25,India
Khammam,17,KHAMMAM(17),RAMASAHAYAM RAGHURAM REDDY,NAMA NAGESWARA RAO,467847,Result Declared,S29,India
Ahmedabad East,7,AHMEDABADEAST(7),HASMUKHBHAI PATEL (H.S.PATEL),HIMMATSINH PRAHLADSINH PATEL,461755,Result Declared,S06,India
