Insurance Policy,,,,,,,Managed by : Rohit Kapoor,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Policy Number,Start Date,Last Paid Date,Tenure (Years),Date of Purchase,Customer ID,Sum Assured INR/Coverage Amount,Premium Amount,Payment Frequency,Loan Eligible,Loan Amount Allowed,Underwriting expenses,Sales Agent Code,Purchase Month,Purchase Quarter,Purchase Year,Policy Anniversary Date,Claim ID,Policy Type Code,Policy Code,Policy Status,State,RM ID,Zonal Manager ID
TRS-POL-287638,28-01-2017,28-Jan-25,20,28-Jan-17,CUST-912138,1837929.13,18946.3,Monthly,No,709501.06,9003.34,AGT-6578,January,Q1,2017,28-Jan-18,CLM-163983,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-983850,27-10-2017,27-Oct-25,20,27-Oct-17,CUST-676760,143416.16,64648.36,Annually,Yes,73432.27,2808.23,AGT-6578,October,Q4,2017,27-Oct-18,CLM-729665,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-892387,18-04-2022,18-Apr-25,20,18-Apr-22,CUST-189349,619301.17,42085.47,Quarterly,Yes,361902.11,3335.88,AGT-6578,April,Q2,2022,18-Apr-23,CLM-655001,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-204292,20-11-2019,20-Nov-25,20,20-Nov-19,CUST-567423,1852545.62,97105.3,Annually,Yes,732352.54,4715.71,AGT-6578,November,Q4,2019,20-Nov-20,CLM-101156,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-621019,13-02-2023,13-Feb-25,20,13-Feb-23,CUST-292627,1882565.42,89233.91,Monthly,No,864927.02,5166.29,AGT-6578,February,Q1,2023,13-Feb-24,CLM-762598,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-603900,19-04-2019,19-Apr-25,20,19-Apr-19,CUST-802812,1330929.44,24594.09,Quarterly,Yes,503997.37,7587.61,AGT-6578,April,Q2,2019,19-Apr-20,CLM-739868,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-371850,26-08-2016,26-Aug-25,20,26-Aug-16,CUST-285115,1852113.26,33450.86,Annually,No,824389.81,7388.2,AGT-6578,August,Q3,2016,26-Aug-17,CLM-590747,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-336174,12-08-2019,12-Aug-25,20,12-Aug-19,CUST-541584,714993.62,76687.52,Quarterly,Yes,261604.73,4288.23,AGT-6578,August,Q3,2019,12-Aug-20,CLM-597333,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-745853,14-11-2016,14-Nov-25,20,14-Nov-16,CUST-192788,270848.26,18826.75,Quarterly,Yes,141297.41,6725,AGT-6578,November,Q4,2016,14-Nov-17,CLM-765047,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-192191,06-01-2023,06-Jan-25,20,06-Jan-23,CUST-226778,1500910.12,71206.95,Annually,Yes,886258.09,1346.17,AGT-6578,January,Q1,2023,06-Jan-24,CLM-790890,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
